,simulation_ts,lat_val,lng_val,soc_val,prob_val,state_val,tocharge_val
381878,2019-07-01 09:36:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
382595,2019-07-01 09:37:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
384466,2019-07-01 09:38:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
386025,2019-07-01 09:39:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
387577,2019-07-01 09:40:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
389420,2019-07-01 09:41:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
391296,2019-07-01 09:42:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
393683,2019-07-01 09:43:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
394896,2019-07-01 09:44:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
395595,2019-07-01 09:45:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
397452,2019-07-01 09:46:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
399002,2019-07-01 09:47:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
400499,2019-07-01 09:48:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
402370,2019-07-01 09:49:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
404214,2019-07-01 09:50:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
406026,2019-07-01 09:51:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
407750,2019-07-01 09:52:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
408423,2019-07-01 09:53:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
410264,2019-07-01 09:54:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
411756,2019-07-01 09:55:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
413267,2019-07-01 09:56:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
415097,2019-07-01 09:57:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
416925,2019-07-01 09:58:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
419254,2019-07-01 09:59:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
420442,2019-07-01 10:00:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
421096,2019-07-01 10:01:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
422877,2019-07-01 10:02:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
424413,2019-07-01 10:03:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
425885,2019-07-01 10:04:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
427673,2019-07-01 10:05:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
429519,2019-07-01 10:06:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
431818,2019-07-01 10:07:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
432970,2019-07-01 10:08:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
433655,2019-07-01 10:09:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
435441,2019-07-01 10:10:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
436962,2019-07-01 10:11:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
438432,2019-07-01 10:12:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
440236,2019-07-01 10:13:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
442013,2019-07-01 10:14:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
443817,2019-07-01 10:15:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
445451,2019-07-01 10:16:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
446120,2019-07-01 10:17:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
447894,2019-07-01 10:18:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
449379,2019-07-01 10:19:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
450857,2019-07-01 10:20:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
452652,2019-07-01 10:21:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
454397,2019-07-01 10:22:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
456692,2019-07-01 10:23:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
457844,2019-07-01 10:24:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
458493,2019-07-01 10:25:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
460271,2019-07-01 10:26:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
461740,2019-07-01 10:27:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
463177,2019-07-01 10:28:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
464925,2019-07-01 10:29:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
466699,2019-07-01 10:30:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
468954,2019-07-01 10:31:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
470087,2019-07-01 10:32:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
470707,2019-07-01 10:33:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
472442,2019-07-01 10:34:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
473906,2019-07-01 10:35:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
475341,2019-07-01 10:36:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
477074,2019-07-01 10:37:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
478837,2019-07-01 10:38:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
480557,2019-07-01 10:39:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
482186,2019-07-01 10:40:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
482819,2019-07-01 10:41:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
484547,2019-07-01 10:42:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
485970,2019-07-01 10:43:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
487389,2019-07-01 10:44:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
489108,2019-07-01 10:45:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
490838,2019-07-01 10:46:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
493045,2019-07-01 10:47:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
494153,2019-07-01 10:48:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
494781,2019-07-01 10:49:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
496476,2019-07-01 10:50:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
497916,2019-07-01 10:51:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
499325,2019-07-01 10:52:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
500988,2019-07-01 10:53:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
502698,2019-07-01 10:54:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
504874,2019-07-01 10:55:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
505951,2019-07-01 10:56:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
506582,2019-07-01 10:57:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
508236,2019-07-01 10:58:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
509635,2019-07-01 10:59:15,48.49518875675363,-122.61283638265691,82.0,0.0,resting,False
